street,level,precip,Libur,day,ROAD_CLOSED
Tamansari,1,1.134,0,Wednesday,0
Tamblong,3,1.134,0,Wednesday,0
Tata Surya,3,1.134,0,Wednesday,0
Tera,3,1.134,0,Wednesday,0
Terusan Buah Batu,2,1.134,0,Wednesday,0
Terusan Cibaduyut,2,1.134,0,Wednesday,0
Terusan Cisaranten Kulon,2,1.134,0,Wednesday,0
Terusan Derwati,2,1.134,0,Wednesday,0
Terusan Gegerkalong Hilir,1,1.134,0,Wednesday,0
Terusan Jakarta,2,1.134,0,Wednesday,0
Terusan Kiaracondong,2,1.134,0,Wednesday,0
Terusan Mulyasari,3,1.134,0,Wednesday,0
Terusan Pasir Koja,2,1.134,0,Wednesday,0
Teuku Umar,3,1.134,0,Wednesday,0
Tol Padaleunyi,3,1.134,0,Wednesday,0
Tol Pasir Koja,2,1.134,0,Wednesday,0
Tol Pasteur,4,1.134,0,Wednesday,0
Tongkeng,3,1.134,0,Wednesday,0
Trunojoyo,3,1.134,0,Wednesday,0
Tubagus Ismail,1,1.134,0,Wednesday,0
Tubagus Ismail Dalam,3,1.134,0,Wednesday,0
Turangga,2,1.134,0,Wednesday,0
Venus Raya,3,1.134,0,Wednesday,0
Veteran,3,1.134,0,Wednesday,0
WR Supratman,3,1.134,0,Wednesday,0
Wa'as,3,1.134,0,Wednesday,0
Waringin,3,1.134,0,Wednesday,0
Wastukencana,3,1.134,0,Wednesday,0
Westhoff,3,1.134,0,Wednesday,0
Abdul Rahman Saleh,2,0.018,0,Thursday,0
Akses Tol Pasteur,3,0.018,0,Thursday,0
Alkateri,4,0.018,0,Thursday,0
Alun-alun Timur,3,0.018,0,Thursday,0
Anggrek,3,0.018,0,Thursday,0
Antapani,2,0.018,0,Thursday,0
Antapani Lama,4,0.018,0,Thursday,0
Antapani Town House,4,0.018,0,Thursday,0
Arah Cihampelas/Pasteur/Pajajaran,4,0.018,0,Thursday,0
Arah Mustang/Cibogo/Gunung Batu,4,0.018,0,Thursday,0
Arah Taman Sari/Dago/Dipati Ukur/Sabuga,4,0.018,0,Thursday,0
Arah Tamansari/Dago/Surapati,4,0.018,0,Thursday,0
Arcamanik Endah,2,0.018,0,Thursday,0
Arjuna,1,0.018,0,Thursday,0
Asia Afrika,3,0.018,0,Thursday,0
Astana Anyar,3,0.018,0,Thursday,0
BKR,3,0.018,0,Thursday,0
Babakan Ciparay,3,0.018,0,Thursday,0
Babakan Jeruk 1,2,0.018,0,Thursday,0
Babakan Lembur Tengah,1,0.018,0,Thursday,0
Babakan Loa,2,0.018,0,Thursday,0
Babakan Sari,2,0.018,0,Thursday,0
Babakan Sari 2,2,0.018,0,Thursday,0
Badak Singa,4,0.018,0,Thursday,0
Bahureksa,4,0.018,0,Thursday,0
Balong Gede,2,0.018,0,Thursday,0
Banceuy,3,0.018,0,Thursday,0
Bapak Husen,3,0.018,0,Thursday,0
Batu Kencana,2,0.018,0,Thursday,0
Batununggal,2,0.018,0,Thursday,0
Batununggal Indah Raya,2,0.018,0,Thursday,0
Bojong Indah,4,0.018,0,Thursday,0
Bojong Koneng,2,0.018,0,Thursday,0
Bojong Loa,2,0.018,0,Thursday,0
Bojong Loa Kaler,4,0.018,0,Thursday,0
Bojong Raya,2,0.018,0,Thursday,0
Braga,2,0.018,0,Thursday,0
Brigjen Katamso,2,0.018,0,Thursday,0
Buah Batu,2,0.018,0,Thursday,0
Budhi,3,0.018,0,Thursday,0
Bukit Pakar Timur,2,0.018,0,Thursday,0
Bukit Raya,2,0.018,0,Thursday,0
Bulevar Barat,4,0.018,0,Thursday,0
Bulevar Selatan,3,0.018,0,Thursday,0
Bungur,4,0.018,0,Thursday,0
Caringin,2,0.018,0,Thursday,0
Cendana,3,0.018,0,Thursday,0
Cibaduyut Raya,5,0.018,0,Thursday,1
Cibiru Hilir,1,0.018,0,Thursday,0
Cibodas Raya,2,0.018,0,Thursday,0
Cibogo Atas,3,0.018,0,Thursday,0
Cibolerang,2,0.018,0,Thursday,0
Cibolerang Barat,3,0.018,0,Thursday,0
Ciborete,3,0.018,0,Thursday,0
Cicendo,3,0.018,0,Thursday,0
Cicukang,4,0.018,0,Thursday,0
Cidurian Selatan,2,0.018,0,Thursday,0
Cidurian Utara,2,0.018,0,Thursday,0
Cigadung Raya Barat,3,0.018,0,Thursday,0
Cigadung Raya Selatan,2,0.018,0,Thursday,0
Cigadung Raya Timur,3,0.018,0,Thursday,0
Cigagak Cipadung,2,0.018,0,Thursday,0
Cigending,3,0.018,0,Thursday,0
Cigondewah Kaler,2,0.018,0,Thursday,0
Cigondewah Rahayu,2,0.018,0,Thursday,0
Cihampelas,3,0.018,0,Thursday,0
Cihapit,3,0.018,0,Thursday,0
Cijagra,3,0.018,0,Thursday,0
Cijambe,2,0.018,0,Thursday,0
Cijerah Raya,2,0.018,0,Thursday,0
Cikajang Raya,2,0.018,0,Thursday,0
Cikapayang,3,0.018,0,Thursday,0
Cikawao,3,0.018,0,Thursday,0
Cikondang,2,0.018,0,Thursday,0
Cikuray,4,0.018,0,Thursday,0
Cikutra,3,0.018,0,Thursday,0
Cikutra Barat,2,0.018,0,Thursday,0
Cilengkrang 1,2,0.018,0,Thursday,0
Cilengkrang 2,3,0.018,0,Thursday,0
Cimincrang,4,0.018,0,Thursday,0
Cinambo,2,0.018,0,Thursday,0
Cinangka,3,0.018,0,Thursday,0
Cingised,2,0.018,0,Thursday,0
Cipaku Indah 4,2,0.018,0,Thursday,0
Cipamokolan,2,0.018,0,Thursday,0
Ciparay,1,0.018,0,Thursday,0
Cipedes,1,0.018,0,Thursday,0
Cipedes Tengah,1,0.018,0,Thursday,0
Ciroyom,2,0.018,0,Thursday,0
Cisaranten Kulon,2,0.018,0,Thursday,0
Cisaranten Wetan,1,0.018,0,Thursday,0
Cisitu Lama,1,0.018,0,Thursday,0
Citra Green,1,0.018,0,Thursday,0
Ciumbuleuit,2,0.018,0,Thursday,0
Ciwaruga Raya,2,0.018,0,Thursday,0
Ciwastra,2,0.018,0,Thursday,0
Cukangkawung,2,0.018,0,Thursday,0
DR Ir Sukarno,3,0.018,0,Thursday,0
Dago Giri,3,0.018,0,Thursday,0
Dago Pojok,4,0.018,0,Thursday,0
Dakota,3,0.018,0,Thursday,0
Dalem Kaum,2,0.018,0,Thursday,0
Dayang Sumbi,3,0.018,0,Thursday,0
Derwati,1,0.018,0,Thursday,0
Dewi Sartika,2,0.018,0,Thursday,0
Dipati Ukur,3,0.018,0,Thursday,0
Diponegoro,3,0.018,0,Thursday,0
Djundjunan,4,0.018,0,Thursday,0
Dr Djundjunan,2,0.018,0,Thursday,0
Dr Otten,4,0.018,0,Thursday,0
Dr Rum,4,0.018,0,Thursday,0
Dr Setiabudi,2,0.018,0,Thursday,0
